enabled,model_id,brand_title,series_title,model_title,reason,source_batch,note
1,10668,360,360 F 系列,360 F5,zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
1,24828,360,360 F 系列,360 F5S,zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
1,25666,360,360 N 系列,360 7x,zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
1,10064,360,360 N 系列,360 N5,zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
1,11258,360,360 N 系列,360 N5s,zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
1,13946,360,360 N 系列,360 N6 Pro,zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
1,22694,360,360 N 系列,360 n6,zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
1,23641,360,360 N 系列,360 n6 lite,zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
1,22690,360,360 N 系列,360 n7,zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
1,22683,360,360 N 系列,360 n7 lite,zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
1,22687,360,360 N 系列,360 n7 pro,zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
1,16229,360,360 手表,360 5代,zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
1,34143,360,360 手表,360 儿童手表8X Pro,zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
1,26071,360,360 手表,360 儿童手表9X,zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
1,34140,360,360 手表,360 儿童手表9X Pro,zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
1,48485,360,360 手表,360儿童手表10X,zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
1,58011,360,360 手表,360儿童手表11X,zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
1,48482,360,360 手表,360儿童手表8XS,zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
1,30350,360,360 手表,360儿童手表B2,zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
1,33398,360,360 手表,360儿童手表B3,zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
1,33401,360,360 手表,360儿童手表M2,zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
1,30368,360,360 手表,360儿童手表S2,zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
1,30371,360,360 手表,360儿童手表SE5 Plus(W907),zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
1,34015,360,360 手表,360儿童手表V6,zero_row_ok_from_progress,2026-04-10,"Imported from progress review on 2026-04-10: zero matching rows remained after filtering, so this model stays blacklisted."
